Go on.,Poursuis.
"I'd like to ask you a question, but if this is a bad time, I can come back at another time.","J'aimerais te poser une question mais si le moment n'est pas propice, je peux revenir à un autre moment."
I'm afraid I'll have to disappoint you. I don't feel like participating in this discussion.,J'ai peur que je vais devoir vous décevoir. Je n'ai pas envie de participer à la discussion.
"If you take a close look, you'll find that your friends and you have similar personalities.","Si vous regardez attentivement, vous constaterez que vos amis et vous avez des personnalités similaires."
"My friend over there is really shy, but he thinks you're cute and he'd like to talk to you.","Mon ami là-bas est vraiment timide, mais il pense que tu es mignonne et il aimerait te parler."
The best parents of all are those who allow their children to follow their natural talents.,Les meilleurs de tous les parents sont ceux qui permettent à leurs enfants de suivre leurs talents naturels.
The important point to note is that both parties offered similar solutions to this problem.,Le point important à noter est que les deux groupes ont proposé des solutions similaires à ce problème.
"The rabbit stood in the middle of the road, mesmerized by the lights of the oncoming truck.","Le lapin se tenait au milieu de la route, hypnotisé par les phares du camion qui arrivait."
"There are times when you need to fight for what's right, even at the risk of your own life.","Il y a des moments où vous devez vous battre pour ce qui est juste, même si c'est au péril de votre vie."
"There were many things that needed my attention, so I didn't get home until after midnight.","Il y avait de nombreuses choses qui requéraient mon attention, je ne suis donc rentré chez moi qu'après minuit."
"There were many things that we wanted to do, but we never got around to doing many of them.","Il y avait de nombreuses choses que nous voulions faire, mais nous ne sommes pas parvenus à faire beaucoup d'entre elles."
"There were many things that we wanted to do, but we never got around to doing many of them.","Il y avait de nombreuses choses que nous voulions faire, mais nous ne sommes pas parvenues à faire beaucoup d'entre elles."
"This figure is supposed to represent Marilyn Monroe, but I don't think it does her justice.","Cette figurine est censée représenter Marilyn Monroe, mais je ne trouve pas qu'elle lui rende justice."
Tom compared a picture taken of Mary three years ago with one that had been taken recently.,Tom compara une photo de Marie d'il y a 3 ans avec une qui a été prise récemment.
67% of those who never smoked said they worried about the health effects of passive smoking.,67% de ceux qui n'ont jamais fumé ont dit qu'ils s'inquiétaient des effets sur la santé de la fumée passive.
"When poverty comes in the door, love flies out the window is a saying as old as it is sad.","« Lorsque la pauvreté passe la porte, l'amour s'envole par la fenêtre » est un adage aussi vieux que triste."
"A ""renovator's dream"" in real estate parlance generally means that the place is a real dump.","Dans le jargon de l'immobilier, un « rêve pour bricoleur » signifie généralement que l'endroit est une vraie décharge."
A slightly lower interest rate could save thousands of dollars over the life of a home loan.,Un taux d'intérêt un peu plus bas peut épargner des milliers de dollars au cours de la durée d'un prêt immobilier.
"According to legend, ghosts would appear in that forest, so people would not set foot there.","Selon la légende, cette forêt serait hantée, aussi les gens n'y mettaient pas les pieds."
"After I graduated from college, I moved back home and lived with my parents for three years.","Après avoir été diplômé de l'école, j'ai de nouveau emménagé chez moi et vécu avec mes parents pendant trois ans."
"After I graduated from college, I moved back home and lived with my parents for three years.","Après avoir été diplômée de l'école, j'ai de nouveau emménagé chez moi et vécu avec mes parents durant trois ans."
Children often want to do things that are dangerous without knowing that they are dangerous.,"Les enfants veulent souvent faire des choses qui sont dangereuses, sans savoir qu'elles sont dangereuses."
"Even though my friend was a vegetarian, I didn't tell him that the soup had some meat in it.","Bien que mon ami fut végétarien, je ne lui dis pas que la soupe contenait de la viande."
"Even though my friend was a vegetarian, I didn't tell him that the soup had some meat in it.","Bien que mon ami soit végétarien, je ne lui ai pas dit que la soupe contenait de la viande."
Hand washing is recommended to prevent the spread of contagious diseases like a coronavirus.,Le lavage des mains est recommandé pour prévenir la propagation de maladies contagieuses comme un coronavirus.
"He gave away his entire fortune to an old friend's daughter, and expected nothing in return.","Il a fait cadeau de toute sa fortune à la fille d'un vieil ami, et n'attendit rien en retour."
"He writes a daily journal, and that inspired me to try doing the same thing, but in English.","Il tient un journal intime, et cela m'a encouragé à faire pareil, mais en anglais."
I don't go to the movies alone because I like to talk to someone about the movie afterwards.,Je ne vais pas au cinéma tout seul parce que j'aime bien parler du film avec quelqu'un après l'avoir vu.
"If she expects them to give her five days off work with pay, she's going to be disappointed.","Si elle s'attend à ce qu'ils lui donnent cinq jours de congés payés, elle va être déçue."
It should be stressed that we are often influenced by advertising without being aware of it.,Il y a lieu de souligner que nous sommes souvent inconsciemment influencés par la publicité.
My sister will have been studying English for ten years when she graduates from her college.,Ma sœur aura étudié l'anglais durant dix ans quand elle obtiendra son diplôme de l'université.
Numbers that can be expressed as fractions of two whole numbers are called rational numbers.,On dit « rationnel » un nombre qui s'exprime en tant que fraction de deux entiers relatifs.
"She asked him to help her father clean the garage, but he said that he was too busy to help.",Elle lui demanda d'aider son père à nettoyer le garage mais il déclara qu'il était trop occupé pour le faire.
